
date         :hr: summary
Feb 2,  2012 : 4: Database Exploration, initial site setup using cgi scripts written in C
Feb 3,  2012 :10: Database Exploration
Feb 4,  2012 :12: Database and Website Development - login process
Feb 5,  2012 : 4: Database and Website Development - login process
Feb 6,  2012 : 8: Website development - login process
Feb 7,  2012 : 8: Website development - login process
Feb 8,  2012 : 8: Website development - login process and added sha1 source
Feb 9,  2012 : 2: SHA1 Development
Feb 10, 2012 : 4: Base64 Encoding
Feb 13, 2012 : 4: Base64 Encoding
Feb 22, 2012 : 4: Session Development
Feb 23, 2012 : 6: Session Development
